engine_id,operating_hour,hours_since_last_overhaul,days_since_last_maintenance,load_percent,rpm,exhaust_gas_temp_c,exhaust_gas_temp_deviation_c,cooling_water_temp_c,lube_oil_pressure_bar,lube_oil_temp_c,fuel_consumption_rate_kg_h,turbocharger_rpm,vibration_mm_s,lube_oil_fe_ppm,lube_oil_cu_ppm,ambient_temp_c,sea_state,fuel_air_ratio,injection_timing_deg_btdc,remaining_useful_life_hours,anomaly_flag,failure_event,failure_within_48h
ENG-01,1,1,11,83.83,856.4,402.9,2.67,71.52,4.12,60.14,214.5,20362.0,2.215,6.15,8.61,29.5,Calm,0.0563,18.31,499,0,0,0
ENG-01,2,2,11,82.71,858.4,408.7,3.35,72.05,4.1,60.62,226.35,20726.0,2.399,6.25,8.76,29.3,Calm,0.059,18.93,498,0,0,0
ENG-01,3,3,11,85.75,861.7,400.4,2.78,72.99,3.983,61.07,214.24,20171.0,2.377,5.36,8.3,33.3,Calm,0.0551,18.82,497,0,0,0
ENG-01,4,4,11,80.68,860.9,406.4,3.59,72.91,4.304,60.24,210.78,20297.0,2.378,6.52,8.25,30.2,Calm,0.061,18.68,496,0,0,0
ENG-01,5,5,11,82.32,855.2,401.3,2.71,73.19,4.055,59.92,214.23,20506.0,2.603,5.97,7.9,30.5,Calm,0.0599,19.09,495,0,0,0
ENG-01,6,6,11,82.6,875.3,404.3,0.81,70.54,4.228,60.18,220.89,20424.0,2.249,6.65,8.67,30.8,Calm,0.0572,18.88,494,0,0,0
ENG-01,7,7,11,86.66,851.3,402.8,5.13,72.84,3.977,60.37,204.97,20005.0,2.213,6.17,8.37,29.3,Calm,0.0586,18.72,493,0,0,0
ENG-01,8,8,11,85.01,870.2,398.6,2.25,72.32,4.157,60.87,217.68,19821.0,2.252,5.68,8.98,30.4,Calm,0.0548,19.14,492,0,0,0
ENG-01,9,9,11,86.42,856.2,405.7,6.56,72.55,4.3,58.81,217.12,20425.0,2.29,6.12,8.05,30.2,Calm,0.0583,18.83,491,0,0,0
ENG-01,10,10,11,78.13,869.5,403.3,6.33,70.45,4.167,59.85,210.98,20231.0,2.282,5.36,7.98,30.5,Calm,0.0575,18.9,490,0,0,0
ENG-01,11,11,11,88.73,856.1,399.2,3.46,72.61,4.096,59.95,215.34,20405.0,2.359,5.77,7.89,31.8,Calm,0.0582,18.42,489,0,0,0
ENG-01,12,12,11,84.38,868.9,405.7,1.66,70.26,4.145,59.94,222.42,20110.0,2.598,5.25,7.86,30.2,Calm,0.0527,19.14,488,0,0,0
ENG-01,13,13,11,81.92,862.9,408.1,3.46,73.28,4.07,60.09,230.92,20522.0,2.233,6.06,7.83,29.2,Calm,0.0577,18.62,487,0,0,0
ENG-01,14,14,11,84.52,862.4,410.6,3.18,71.68,4.207,58.55,206.74,20428.0,2.272,5.66,8.48,29.7,Calm,0.0601,18.46,486,0,0,0
ENG-01,15,15,11,79.01,856.4,410.3,3.94,72.82,4.043,59.31,214.42,19835.0,2.328,5.37,7.96,30.2,Calm,0.056,19.16,485,0,0,0
ENG-01,16,16,11,81.66,858.7,401.5,1.03,70.82,4.232,59.27,212.17,20390.0,2.511,5.89,7.88,31.3,Calm,0.0574,19.04,484,0,0,0
ENG-01,17,17,11,83.44,872.0,409.4,1.64,70.52,4.145,61.09,224.2,20883.0,2.328,5.95,8.14,31.0,Calm,0.0566,18.73,483,0,0,0
ENG-01,18,18,11,82.49,867.3,401.7,1.87,75.37,4.041,61.37,214.92,20477.0,2.258,5.66,7.95,31.2,Calm,0.0591,18.92,482,0,0,0
ENG-01,19,19,11,84.15,855.9,405.4,0.26,75.07,4.266,61.42,210.09,20545.0,2.211,5.71,8.34,32.3,Calm,0.0619,18.36,481,0,0,0
ENG-01,20,20,11,80.29,860.8,411.8,3.36,71.61,4.079,59.41,216.65,20169.0,2.442,6.86,7.95,29.4,Calm,0.0573,18.46,480,0,0,0
ENG-01,21,21,11,77.24,856.7,414.2,1.75,73.78,3.957,60.92,218.85,20553.0,2.247,5.41,8.96,31.5,Calm,0.0574,18.72,479,0,0,0
ENG-01,22,22,11,85.12,862.1,411.1,2.14,72.3,4.092,59.36,213.58,20446.0,2.384,6.89,8.82,32.6,Calm,0.056,18.81,478,0,0,0
ENG-01,23,23,11,83.55,851.6,403.1,3.32,72.59,4.17,61.58,213.7,20578.0,2.308,5.65,8.05,30.4,Calm,0.0583,18.58,477,0,0,0
ENG-01,24,24,12,89.49,865.5,412.8,0.72,73.06,4.385,62.73,210.24,20558.0,2.304,6.79,8.3,31.4,Calm,0.0584,18.45,476,0,0,0
ENG-01,25,25,12,84.03,852.2,413.0,1.13,67.7,4.195,62.58,224.64,20051.0,2.344,5.97,7.93,31.5,Calm,0.0553,19.09,475,0,0,0
ENG-01,26,26,12,85.79,857.2,402.1,3.84,70.98,4.102,58.54,217.73,20215.0,2.418,5.45,8.24,30.6,Calm,0.0581,18.27,474,0,0,0
ENG-01,27,27,12,86.88,854.2,401.3,1.69,74.98,4.319,59.71,210.09,20809.0,2.274,6.64,8.55,31.7,Calm,0.0551,18.27,473,0,0,0
ENG-01,28,28,12,92.16,857.4,401.1,1.34,72.94,4.034,57.32,227.5,20449.0,2.237,6.18,7.83,30.7,Calm,0.0566,18.41,472,0,0,0
ENG-01,29,29,12,87.86,866.0,409.4,4.92,73.07,4.207,59.87,219.73,20294.0,2.303,5.37,8.31,30.6,Calm,0.0544,18.99,471,0,0,0
ENG-01,30,30,12,86.94,851.8,411.4,3.59,72.49,4.021,60.77,214.3,19631.0,2.293,5.85,8.18,29.3,Calm,0.0595,18.8,470,0,0,0
ENG-01,31,31,12,78.2,851.9,403.0,5.42,72.37,4.143,60.51,209.05,20490.0,2.264,5.58,8.34,29.6,Calm,0.0536,18.44,469,0,0,0
ENG-01,32,32,12,90.68,867.7,401.6,4.33,73.08,4.028,61.61,221.42,20713.0,2.229,5.74,8.8,30.4,Calm,0.0555,18.91,468,0,0,0
ENG-01,33,33,12,85.74,866.1,409.4,2.42,72.91,4.357,56.79,221.14,20457.0,2.486,7.85,8.18,30.9,Calm,0.0571,18.6,467,0,0,0
ENG-01,34,34,12,80.21,880.6,401.3,1.39,71.26,4.342,60.13,206.69,20595.0,2.257,6.09,8.14,31.5,Calm,0.0588,18.79,466,0,0,0
ENG-01,35,35,12,83.32,854.5,406.4,1.99,70.94,4.166,61.35,220.62,20594.0,2.699,5.38,7.82,32.0,Calm,0.0585,18.05,465,0,0,0
ENG-01,36,36,12,81.13,859.2,403.2,1.19,73.02,4.18,60.73,214.86,20714.0,2.317,7.22,8.37,30.7,Calm,0.0566,18.65,464,0,0,0
ENG-01,37,37,12,80.98,864.6,403.8,4.11,70.75,4.092,62.93,216.36,20330.0,2.327,5.43,7.91,31.8,Calm,0.0567,18.89,463,0,0,0
ENG-01,38,38,12,81.66,863.7,401.5,1.61,71.5,3.954,59.47,220.33,20267.0,2.231,6.43,7.86,31.8,Calm,0.0588,18.58,462,0,0,0
ENG-01,39,39,12,85.06,861.7,396.6,1.87,70.39,4.092,58.84,227.47,20357.0,2.445,5.86,8.29,30.5,Calm,0.0544,19.22,461,0,0,0
ENG-01,40,40,12,88.27,855.2,402.1,4.78,68.98,4.168,58.81,220.72,20627.0,2.396,6.05,7.98,30.7,Calm,0.0559,18.38,460,0,0,0
ENG-01,41,41,12,83.96,853.6,398.4,0.79,72.94,4.101,60.9,219.05,20516.0,2.242,5.72,8.47,32.8,Calm,0.0595,18.55,459,0,0,0
ENG-01,42,42,12,83.7,865.0,410.2,7.74,70.92,4.099,61.14,208.09,20764.0,2.243,5.97,8.06,30.2,Calm,0.0569,18.88,458,0,0,0
ENG-01,43,43,12,86.39,865.9,407.8,8.89,73.91,4.31,59.25,207.83,20258.0,2.333,6.87,8.46,30.0,Calm,0.0568,18.67,457,0,0,0
ENG-01,44,44,12,81.23,854.3,405.0,1.25,69.12,3.984,62.89,216.81,20315.0,2.598,5.8,8.11,30.8,Calm,0.0545,18.27,456,0,0,0
ENG-01,45,45,12,88.25,861.2,408.3,2.68,71.08,4.201,59.65,211.96,20919.0,2.362,6.75,8.07,29.6,Calm,0.0573,18.51,455,0,0,0
ENG-01,46,46,12,85.28,856.1,401.6,4.61,69.73,4.138,60.83,217.74,20447.0,2.578,6.15,8.22,30.3,Calm,0.0565,18.79,454,0,0,0
ENG-01,47,47,12,87.44,865.4,407.6,2.72,71.08,4.061,62.24,207.34,20667.0,2.639,5.51,7.84,31.9,Calm,0.0585,18.91,453,0,0,0
ENG-01,48,48,13,83.94,860.5,399.2,1.83,70.76,4.138,63.31,215.29,20518.0,2.488,5.3,8.84,30.9,Calm,0.062,19.02,452,0,0,0
ENG-01,49,49,13,84.72,859.3,399.7,3.13,70.69,4.246,60.37,218.63,20548.0,2.663,5.45,8.94,29.6,Calm,0.0581,18.78,451,0,0,0
ENG-01,50,50,13,84.56,868.4,400.3,5.06,72.41,4.27,60.21,226.99,19837.0,2.348,5.85,8.09,30.8,Calm,0.0585,18.26,450,0,0,0
ENG-01,51,51,13,88.89,856.5,408.1,1.96,71.81,4.131,58.13,222.55,20098.0,2.624,5.4,8.12,29.6,Calm,0.0586,18.28,449,0,0,0
ENG-01,52,52,13,79.78,866.7,396.8,3.22,72.13,4.312,57.85,202.97,20255.0,2.359,6.0,8.23,30.0,Calm,0.0574,19.47,448,0,0,0
ENG-01,53,53,13,82.9,856.5,397.8,0.62,70.73,4.075,61.25,211.99,20412.0,2.702,6.68,8.36,30.3,Calm,0.0562,18.6,447,0,0,0
ENG-01,54,54,13,82.14,860.8,406.8,4.82,69.16,4.208,61.98,210.65,20510.0,2.23,5.27,8.15,30.8,Calm,0.0586,18.59,446,0,0,0
ENG-01,55,55,13,78.8,869.9,398.6,3.56,72.53,4.019,59.52,218.92,20861.0,2.478,5.8,8.07,31.5,Calm,0.0585,18.35,445,0,0,0
